City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,huaibei,33.9744,116.7917,10.29,34,0,5.81,CN,1673232718
180,munster,51.9624,7.6257,7.7,92,75,4.63,DE,1673232992
181,cotonou,6.3654,2.4183,26.99,89,53,2.57,BJ,1673232993
182,qaqortoq,60.7167,-46.0333,-5.24,66,100,5.64,GL,1673232993
183,kiama,-34.6833,150.8667,27.99,65,0,2.68,AU,1673232994
184,sitka,57.0531,-135.33,2.29,87,84,2.59,US,1673232994
185,esperance,-33.8667,121.9,22.91,55,0,5.57,AU,1673232994
186,chokurdakh,70.6333,147.9167,-26.83,99,100,2.98,RU,1673232995
187,tessalit,20.1986,1.0114,15.21,17,100,4.33,ML,1673232995
188,maragogi,-9.0122,-35.2225,24.51,77,73,2.3,BR,1673232995
189,gazli,40.1333,63.45,-2.11,88,100,5.18,UZ,1673232996
190,jimenez,28.3333,-105.4,16.23,28,100,0.59,MX,1673232996
191,souillac,-20.5167,57.5167,25.21,83,75,3.09,MU,1673232997
192,panlaitan,12.1191,119.8486,27.33,69,89,1.76,PH,1673232998
193,grindavik,63.8424,-22.4338,0.26,80,75,19.03,IS,1673232998
194,port alfred,-33.5906,26.891,20.19,82,0,4.38,ZA,1673232998
195,mazagao,-0.115,-51.2894,26.03,96,97,1.68,BR,1673232999
196,puerto ayora,-0.7393,-90.3518,22.53,96,5,2.8,EC,1673232999
197,muana,-1.5283,-49.2167,23.17,95,95,1.96,BR,1673233000
198,norrkoping,58.5942,16.1826,3.55,93,100,2.57,SE,1673233000
199,klaksvik,62.2266,-6.589,6.51,81,91,7.31,FO,1673233000
200,portland,45.5234,-122.6762,8.71,94,66,0.45,US,1673233001
201,nanortalik,60.1432,-45.2371,-2.27,68,100,5.92,GL,1673233001
202,mahibadhoo,3.7833,72.9667,27.3,71,10,7.76,MV,1673233001
203,te anau,-45.4167,167.7167,28.13,36,1,0.51,NZ,1673233002
204,zykovo,55.9519,93.1461,3.41,71,100,6.19,RU,1673233002
205,hilo,19.7297,-155.09,29.6,80,0,1.79,US,1673233002
206,xintai,35.9006,117.7519,5.63,46,23,4.38,CN,1673233003
207,touba,8.2833,-7.6833,21.9,29,15,0.73,CI,1673233003
208,labuan,5.2767,115.2417,26.2,83,40,1.54,MY,1673233004
209,luderitz,-26.6481,15.1594,16.07,95,35,4.37,NA,1673233004
210,changji,44.0167,87.3167,-7.56,79,100,1.0,CN,1673233004
211,brandon,27.9378,-82.2859,17.35,84,0,0.0,US,1673233005
212,vavozh,56.7751,51.931,-40.91,100,61,1.61,RU,1673233005
213,aras,42.5617,-2.356,6.24,100,100,0.51,ES,1673233005
214,caibarien,22.5206,-79.4669,23.44,84,3,4.86,CU,1673233006
215,butaritari,3.0707,172.7902,27.29,78,59,5.07,KI,1673233006
216,male,4.1748,73.5089,27.97,78,20,7.2,MV,1673233006
217,nishihara,26.1842,127.7558,20.6,60,40,4.12,JP,1673233007
218,ossora,59.2353,163.0719,-18.97,83,100,1.87,RU,1673233007
219,inyonga,-6.7167,32.0667,18.12,82,100,1.17,TZ,1673233007
220,chikwawa,-16.0335,34.8009,21.05,99,100,1.45,MW,1673233008
221,kenai,60.5544,-151.2583,-15.48,87,100,3.89,US,1673233008
222,montecristi,-1.05,-80.6667,23.9,78,40,3.09,EC,1673233009
223,eyl,7.9803,49.8164,23.16,78,41,6.4,SO,1673232982
224,warwick,41.7001,-71.4162,1.22,82,40,2.06,US,1673233009
225,uusikaupunki,60.8004,21.4084,-0.5,97,100,9.06,FI,1673233009
226,westerland,54.9079,8.3033,6.01,93,100,7.72,DE,1673233010
227,husavik,66.0449,-17.3389,2.37,99,100,8.56,IS,1673233010
228,geraldton,-28.7667,114.6,30.23,39,0,6.17,AU,1673233010
229,vostok,46.4856,135.8833,-12.6,88,100,2.21,RU,1673233011
230,idlib,35.9306,36.6339,4.65,80,17,2.21,SY,1673233011
231,westport,41.1415,-73.3579,3.93,79,88,4.02,US,1673233012
232,bubaque,11.2833,-15.8333,26.48,53,100,10.44,GW,1673233012
233,norman wells,65.282,-126.8329,-16.98,78,75,2.06,CA,1673233012
234,belaya gora,68.5333,146.4167,-29.78,99,100,1.93,RU,1673233013
235,chernyshevskiy,63.0128,112.4714,-48.81,99,40,0.91,RU,1673233013
236,banda aceh,5.5577,95.3222,27.37,71,34,2.98,ID,1673233013
237,kildare,53.1561,-6.9144,6.1,87,86,7.06,IE,1673233014
238,rong kwang,18.339,100.3174,23.58,52,98,1.49,TH,1673232774
239,katsuura,35.1333,140.3,11.91,59,8,2.15,JP,1673232781
240,chardara,41.2547,67.9692,2.63,75,100,4.22,KZ,1673232828
241,pacific grove,36.6177,-121.9166,14.06,88,100,0.45,US,1673232735
242,korla,41.7597,86.1469,-0.91,37,100,1.05,CN,1673233015
243,maarianhamina,60.0973,19.9348,0.92,100,100,7.72,AX,1673233016
244,galle,6.0367,80.217,26.07,82,33,0.14,LK,1673233016
245,wolfsburg,52.4333,10.8,8.03,81,97,4.12,DE,1673233017
246,cayenne,4.9333,-52.3333,23.02,100,75,0.0,GF,1673233017
247,opuwo,-18.0607,13.84,19.3,36,83,0.7,NA,1673233018
248,thinadhoo,0.5333,72.9333,26.85,78,100,3.92,MV,1673233018
249,bowen,-20.0167,148.2333,28.18,65,8,3.91,AU,1673233019
250,bognor regis,50.7821,-0.6798,8.32,91,46,10.52,GB,1673233019
251,yumen,40.2833,97.2,-2.31,28,0,3.72,CN,1673233020
252,lorengau,-2.0226,147.2712,29.37,70,40,3.8,PG,1673233020
253,narsaq,60.9167,-46.05,-6.04,67,100,5.22,GL,1673233021
254,hambantota,6.1241,81.1185,24.19,88,20,1.54,LK,1673233021
255,shakawe,-18.3667,21.85,18.63,86,96,2.08,BW,1673233022
256,bay city,43.5945,-83.8889,-0.82,79,100,1.54,US,1673233022
257,marystown,47.1666,-55.1483,-3.93,70,20,7.73,CA,1673233023
258,vao,-22.6667,167.4833,25.11,74,34,12.04,NC,1673233023
259,altay,47.8667,88.1167,-0.84,87,100,0.58,CN,1673233023
260,avarua,-21.2078,-159.775,26.03,89,75,4.63,CK,1673233024
261,cross lanes,38.4204,-81.7907,4.73,82,100,1.34,US,1673233024
262,muros,42.7762,-9.0603,10.38,96,71,4.77,ES,1673233024
263,hyderabad,17.3753,78.4744,18.73,55,0,1.54,IN,1673232818
264,si racha,13.1737,100.9311,30.18,51,18,3.33,TH,1673232755
265,tarbes,43.25,0.1667,8.26,88,75,7.2,FR,1673233025
266,turukhansk,65.8167,87.9833,-33.7,90,81,3.28,RU,1673233026
267,bathsheba,13.2167,-59.5167,26.34,83,75,7.2,BB,1673233026
268,salinopolis,-0.6136,-47.3561,25.51,84,100,4.11,BR,1673233026
269,the pas,53.8251,-101.2541,-8.99,92,100,3.6,CA,1673233027
270,poum,-20.2333,164.0167,26.32,67,50,8.13,NC,1673233027
271,witu,-2.3889,40.4382,23.03,93,86,1.04,KE,1673233027
272,lamas,-6.4167,-76.5333,21.26,90,33,1.32,PE,1673233028
273,antropovo,58.3988,43.0066,-37.82,100,21,0.87,RU,1673233028
274,galeana,24.8333,-100.0667,10.19,93,92,1.95,MX,1673233028
